fold,model,group,rules,include_overtime,feature,gain
1,xgboost,C,v1,False,weekday_6,0.0
1,xgboost,C,v1,False,menu_meat,0.003577083582058549
1,xgboost,C,v1,False,menu_fish,0.003069804050028324
1,xgboost,C,v1,False,menu_noodles,0.0013482820941135287
1,xgboost,C,v1,False,menu_special,0.0
1,xgboost,C,v1,False,menu_rice_bowl,0.0021677068434655666
1,xgboost,C,v1,False,menu_soup,0.0
1,xgboost,C,v2,False,employees,0.004696909803897142
1,xgboost,C,v2,False,vacation,0.017721988260746002
1,xgboost,C,v2,False,business_trip,0.00947579275816679
1,xgboost,C,v2,False,work_from_home,0.0
1,xgboost,C,v2,False,weekday_0,0.436978280544281
1,xgboost,C,v2,False,weekday_1,0.005640970543026924
1,xgboost,C,v2,False,weekday_2,0.0027560133021324873
1,xgboost,C,v2,False,weekday_3,0.03033251129090786
1,xgboost,C,v2,False,weekday_4,0.4838103652000427
1,xgboost,C,v2,False,weekday_5,0.0
1,xgboost,C,v2,False,weekday_6,0.0
1,xgboost,C,v2,False,menu_meat,0.00220871577039361
1,xgboost,C,v2,False,menu_fish,0.0029261643067002296
1,xgboost,C,v2,False,menu_noodles,0.0012612993596121669
1,xgboost,C,v2,False,menu_special,0.0
1,xgboost,C,v2,False,menu_rice_bowl,0.0021909947972744703
1,xgboost,C,v2,False,menu_soup,0.0
1,xgboost,D,v1,False,employees,0.005832800175994635
1,xgboost,D,v1,False,vacation,0.030169105157256126
1,xgboost,D,v1,False,business_trip,0.01504792831838131
1,xgboost,D,v1,False,work_from_home,0.0
1,xgboost,D,v1,False,weekday_0,0.47642168402671814
1,xgboost,D,v1,False,weekday_1,0.007444646209478378
1,xgboost,D,v1,False,weekday_2,0.005263559054583311
1,xgboost,D,v1,False,weekday_3,0.03312702476978302
1,xgboost,D,v1,False,weekday_4,0.3962063193321228
1,xgboost,D,v1,False,weekday_5,0.0
1,xgboost,D,v1,False,weekday_6,0.0
1,xgboost,D,v1,False,menu_meat,0.004266261123120785
1,xgboost,D,v1,False,menu_fish,0.0031488798558712006
1,xgboost,D,v1,False,menu_noodles,0.0015028538182377815
1,xgboost,D,v1,False,menu_special,0.0
1,xgboost,D,v1,False,menu_rice_bowl,0.0030320724472403526
1,xgboost,D,v1,False,menu_soup,0.0
1,xgboost,D,v1,False,temp_mean,0.004907811060547829
1,xgboost,D,v1,False,temp_max,0.004240262322127819
1,xgboost,D,v1,False,temp_min,0.005040760617703199
1,xgboost,D,v1,False,humidity,0.004347893875092268
1,xgboost,D,v2,False,employees,0.005523851606994867
